0.812,0.8132,0.8137,0.8139,0.8152,0.8157,0.817,0.8177,0.8187,0.8187,0.8195,0.8276,0.7452,0.8361,0.8375,0.8412,0.752,0.8421,0.8441,0.8453,0.7527,0.8464,0.8484,0.7557,0.8481,0.8514,0.8534,0.764,0.8581,0.8603,0.8609
0.8117,0.8125,0.8138,0.8138,0.8143,0.815,0.8161,0.8167,0.817,0.8173,0.8208,0.8313,0.8351,0.8424,0.8466,0.7506,0.8437,0.8456,0.8515,0.7567,0.8474,0.8498,0.8581,0.8605,0.7615,0.8569,0.8608,0.8614,0.8665,0.7661,0.8604
0.8136,0.8142,0.8143,0.8137,0.8138,0.8152,0.8159,0.8166,0.8177,0.8187,0.8208,0.8266,0.8348,0.8462,0.8483,0.8514,0.8561,0.8602,0.8614,0.8635,0.8635,0.8678,0.8678,0.8683,0.872,0.871,0.8732,0.8771,0.8772,0.8787,0.8791
0.8107,0.813,0.8135,0.8132,0.8149,0.8147,0.8166,0.8163,0.8172,0.8243,0.8256,0.832,0.8371,0.8408,0.8435,0.7678,0.846,0.8462,0.8538,0.8009,0.8484,0.8539,0.8639,0.845,0.8621,0.8704,0.8678,0.8735,0.8746,0.8757,0.8758
0.8158,0.818,0.8194,0.8198,0.8201,0.8202,0.8209,0.8221,0.8221,0.8229,0.8233,0.8297,0.8349,0.7479,0.8408,0.8433,0.8519,0.7552,0.8456,0.847,0.7587,0.8479,0.8516,0.8549,0.7652,0.8543,0.8582,0.8655,0.7711,0.8591,0.8626
0.8132,0.8137,0.8144,0.8148,0.8158,0.8172,0.8187,0.822,0.8227,0.8236,0.8271,0.8327,0.838,0.8413,0.8528,0.8565,0.756,0.8509,0.8505,0.8591,0.8633,0.814,0.8552,0.863,0.8686,0.8719,0.8741,0.8726,0.8775,0.8794,0.8758
0.8079,0.8095,0.8092,0.81,0.8106,0.8114,0.8127,0.8135,0.8145,0.815,0.8227,0.8336,0.8379,0.8397,0.7462,0.8416,0.8455,0.8469,0.7517,0.8465,0.8485,0.8472,0.8529,0.7592,0.8532,0.8588,0.8604,0.7642,0.8601,0.8618,0.8628
0.8153,0.8161,0.8171,0.818,0.8191,0.8205,0.8208,0.8211,0.8208,0.8215,0.8264,0.8343,0.8407,0.8408,0.8447,0.8576,0.7549,0.8464,0.8454,0.8525,0.8655,0.765,0.8525,0.8577,0.8606,0.8701,0.8754,0.7731,0.8593,0.8652,0.8675
0.8178,0.8194,0.8204,0.8206,0.8215,0.8222,0.8218,0.8238,0.8253,0.8259,0.8265,0.8298,0.8367,0.84,0.8443,0.8482,0.8434,0.8542,0.8532,0.8472,0.8669,0.8688,0.868,0.8662,0.8703,0.8707,0.8713,0.8721,0.8739,0.8759,0.8772
0.8138,0.8159,0.815,0.8146,0.8147,0.8161,0.8177,0.8197,0.8209,0.8214,0.8273,0.8368,0.8371,0.8478,0.854,0.856,0.8585,0.8605,0.8611,0.8625,0.8623,0.8649,0.864,0.8663,0.8685,0.871,0.8718,0.8752,0.8761,0.8757,0.8753
